LMGL05030001,S-TGD-1-PA,"3-HSO3-Gal-alpha1-6-Man-beta1-2-Glc-alpha1-1-[2,3-di-O-phytanyl-sn-glycerol]-6-[phospho-2,3-di-O-phytanyl-sn-glycerol]",C104H205O26PS   ,1933.4178,Glycerolipids [GL],Glycosyldiradylglycerols [GL05],Glycosyldialkylglycerols [GL0503]
LMGL01010028,2-arachidonoyl glycerol-d5,"2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol-d5 ",C23H33D5O4   ,383.3079,Glycerolipids [GL],Monoradylglycerols [GL01],Monoacylglycerols [GL0101]
LMGL01010026,"MG(0:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","2-(20:5(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycerol",C23H36O4   ,376.2614,Glycerolipids [GL],Monoradylglycerols [GL01],Monoacylglycerols [GL0101]
LMGL01010023,"MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)","2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",C23H38O4   ,378.277,Glycerolipids [GL],Monoradylglycerols [GL01],Monoacylglycerols [GL0101]
LMGL01010030,15-HETE-G,"2-(15S-hydroxy-5Z,8Z,11Z,13E-eicosatetraenoyl)-sn-glycerol",C23H38O5   ,394.2719,Glycerolipids [GL],Monoradylglycerols [GL01],Monoacylglycerols [GL0101]
LMGL01010031,12-HETE-G,"2-(12S-hydroxy-5Z,8Z,10E,14Z-eicosatetraenoyl)-sn-glycerol",C23H38O5   ,394.2719,Glycerolipids [GL],Monoradylglycerols [GL01],Monoacylglycerols [GL0101]
LMGL01010029,Noladin Ether,"2-(5Z,8Z,11Z,14Z-eicosatetraenyl)-sn-glycerol",C23H40O3   ,364.2977,Glycerolipids [GL],Monoradylglycerols [GL01],Monoacylglycerols [GL0101]
LMGL01020026,-,2-(8-[3]-ladderane-octanyl)-sn-glycerol,C23H40O3   ,364.2977,Glycerolipids [GL],Monoradylglycerols [GL01],Monoalkylglycerols [GL0102]
LMGL01010007,MG(20:0/0:0/0:0)[rac],1-eicosanoyl-rac-glycerol,C23H46O4   ,386.3396,Glycerolipids [GL],Monoradylglycerols [GL01],Monoacylglycerols [GL0101]
LMGL01010027,"MG(0:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","2-(22:6(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycerol",C25H38O4   ,402.277,Glycerolipids [GL],Monoradylglycerols [GL01],Monoacylglycerols [GL0101]
LMGL04010002,SQMG(16:1(9Z)/0:0),1-(9Z-hexadecenoyl)-3-(6'-sulfo-alpha-D-quinovosyl)-sn-glycerol,C25H46O11S   ,554.2761,Glycerolipids [GL],Glycosylmonoradylglycerols [GL04],Glycosylmonoacylglycerols [GL0401]
LMGL04010003,SQMG(16:1(11Z)/0:0),1-(11Z-hexadecenoyl)-3-(6'-sulfo-alpha-D-quinovosyl)-sn-glycerol,C25H46O11S   ,554.2761,Glycerolipids [GL],Glycosylmonoradylglycerols [GL04],Glycosylmonoacylglycerols [GL0401]
LMGL04010004,SQMG(16:1(13Z)/0:0),1-(13Z-hexadecenoyl)-3-(6'-sulfo-alpha-D-quinovosyl)-sn-glycerol,C25H46O11S   ,554.2761,Glycerolipids [GL],Glycosylmonoradylglycerols [GL04],Glycosylmonoacylglycerols [GL0401]
LMGL04010005,SQMG(0:0/16:1(9Z)),2-(9Z-hexadecenoyl)-3-(6'-sulfo-alpha-D-quinovosyl)-sn-glycerol,C25H46O11S   ,554.2761,Glycerolipids [GL],Glycosylmonoradylglycerols [GL04],Glycosylmonoacylglycerols [GL0401]
LMGL04010006,SQMG(0:0/16:1(11Z)),2-(11Z-hexadecenoyl)-3-(6'-sulfo-alpha-D-quinovosyl)-sn-glycerol,C25H46O11S   ,554.2761,Glycerolipids [GL],Glycosylmonoradylglycerols [GL04],Glycosylmonoacylglycerols [GL0401]
LMGL04010007,SQMG(0:0/16:1(13Z)),2-(13Z-hexadecenoyl)-3-(6'-sulfo-alpha-D-quinovosyl)-sn-glycerol,C25H46O11S   ,554.2761,Glycerolipids [GL],Glycosylmonoradylglycerols [GL04],Glycosylmonoacylglycerols [GL0401]
LMGL02010323,DG(12:0/12:0/0:0)[iso2],"1,2-didodecanoyl-sn-glycerol",C27H52O5   ,456.3815,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010324,DG(13:0/13:0/0:0),"1,2-ditridecanoyl-sn-glycerol",C29H56O5   ,484.4128,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010309,DG(14:0/0:0/14:0) (d5),"1,3-ditetradecanoyl-sn-glycerol (d5)",C31H55D5O5   ,517.475,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010325,DG(14:1(9Z)/14:1(9Z)/0:0),"1,2-di-(9Z-tetradecenoyl)-sn-glycerol",C31H56O5   ,508.4128,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010322,DG(12:0/16:1(9Z)/0:0)[iso2],1-dodecanoyl-2-(9Z-hexadecenoyl)-sn-glycerol,C31H58O5   ,510.4284,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010321,"1,2-dimyristoyl-sn-glycerol","1,2-ditetradecanoyl-sn-glycerol",C31H60O5   ,512.4441,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010331,DG(12:0/16:0/0:0)[iso2],1-dodecanoyl-2-hexadecanoyl-sn-glycerol,C31H60O5   ,512.4441,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010334,"DG(12:0/17:2(9Z,12Z)/0:0)[iso2]","1-dodecanoyl-2-(9Z,12Z-heptadecadienoyl)-sn-glycerol",C32H58O5   ,522.4284,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010333,DG(12:0/17:1(9Z)/0:0)[iso2],1-dodecanoyl-2-(9Z-heptadecenoyl)-sn-glycerol,C32H60O5   ,524.4441,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010355,DG(13:0/16:1(9Z)/0:0)[iso2],1-tridecanoyl-2-(9Z-hexadecenoyl)-sn-glycerol,C32H60O5   ,524.4441,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010332,DG(12:0/17:0/0:0)[iso2],1-dodecanoyl-2-heptadecanoyl-sn-glycerol,C32H62O5   ,526.4597,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010354,DG(13:0/16:0/0:0)[iso2],1-tridecanoyl-2-hexadecanoyl-sn-glycerol,C32H62O5   ,526.4597,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010338,"DG(12:0/18:3(9Z,12Z,15Z)/0:0)[iso2]","1-dodecanoyl-2-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycerol",C33H58O5   ,534.4284,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010310,DG(15:0/0:0/15:0) (d5),"1,3-dipentadecanoyl-2-hydroxy-glycerol (d5)",C33H59D5O5   ,545.5063,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010327,DG(15:1(9Z)/15:1(9Z)/0:0),"1,2-di-(9Z-pentadecenoyl)-sn-glycerol",C33H60O5   ,536.4441,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010337,"DG(12:0/18:2(9Z,12Z)/0:0)[iso2]","1-dodecanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycerol",C33H60O5   ,536.4441,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010358,"DG(13:0/17:2(9Z,12Z)/0:0)[iso2]","1-tridecanoyl-2-(9Z,12Z-heptadecadienoyl)-sn-glycerol",C33H60O5   ,536.4441,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010403,DG(14:1(9Z)/16:1(9Z)/0:0)[iso2],1-(9Z-tetradecenoyl)-2-(9Z-hexadecenoyl)-sn-glycerol,C33H60O5   ,536.4441,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010336,DG(12:0/18:1(9Z)/0:0)[iso2],1-dodecanoyl-2-(9Z-octadecenoyl)-sn-glycerol,C33H62O5   ,538.4597,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010357,DG(13:0/17:1(9Z)/0:0)[iso2],1-tridecanoyl-2-(9Z-heptadecenoyl)-sn-glycerol,C33H62O5   ,538.4597,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010379,DG(14:0/16:1(9Z)/0:0)[iso2],1-tetradecanoyl-2-(9Z-hexadecenoyl)-sn-glycerol,C33H62O5   ,538.4597,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010402,DG(14:1(9Z)/16:0/0:0)[iso2],1-(9Z-tetradecenoyl)-2-hexadecanoyl-sn-glycerol,C33H62O5   ,538.4597,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL03012617,"1,2,3-tricaprinoyl-glycerol","1,2,3-tridecanoyl-sn-sn-glycerol",C33H62O6   ,554.4546,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL02010326,DG(15:0/15:0/0:0),"1,2-dipentadecanoyl-sn-glycerol",C33H64O5   ,540.4754,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010335,DG(12:0/18:0/0:0)[iso2],1-dodecanoyl-2-octadecanoyl-sn-glycerol,C33H64O5   ,540.4754,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010356,DG(13:0/17:0/0:0)[iso2],1-tridecanoyl-2-heptadecanoyl-sn-glycerol,C33H64O5   ,540.4754,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010378,DG(14:0/16:0/0:0)[iso2],1-tetradecanoyl-2-hexadecanoyl-sn-glycerol,C33H64O5   ,540.4754,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010362,"DG(13:0/18:3(9Z,12Z,15Z)/0:0)[iso2]","1-tridecanoyl-2-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycerol",C34H60O5   ,548.4441,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010406,"DG(14:1(9Z)/17:2(9Z,12Z)/0:0)[iso2]","1-(9Z-tetradecenoyl)-2-(9Z,12Z-heptadecadienoyl)-sn-glycerol",C34H60O5   ,548.4441,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010361,"DG(13:0/18:2(9Z,12Z)/0:0)[iso2]","1-tridecanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycerol",C34H62O5   ,550.4597,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010382,"DG(14:0/17:2(9Z,12Z)/0:0)[iso2]","1-tetradecanoyl-2-(9Z,12Z-heptadecadienoyl)-sn-glycerol",C34H62O5   ,550.4597,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010405,DG(14:1(9Z)/17:1(9Z)/0:0)[iso2],1-(9Z-tetradecenoyl)-2-(9Z-heptadecenoyl)-sn-glycerol,C34H62O5   ,550.4597,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010451,DG(15:1(9Z)/16:1(9Z)/0:0)[iso2],1-(9Z-pentadecenoyl)-2-(9Z-hexadecenoyl)-sn-glycerol,C34H62O5   ,550.4597,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010360,DG(13:0/18:1(9Z)/0:0)[iso2],1-tridecanoyl-2-(9Z-octadecenoyl)-sn-glycerol,C34H64O5   ,552.4754,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010381,DG(14:0/17:1(9Z)/0:0)[iso2],1-tetradecanoyl-2-(9Z-heptadecenoyl)-sn-glycerol,C34H64O5   ,552.4754,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010404,DG(14:1(9Z)/17:0/0:0)[iso2],1-(9Z-tetradecenoyl)-2-heptadecanoyl-sn-glycerol,C34H64O5   ,552.4754,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010427,DG(15:0/16:1(9Z)/0:0)[iso2],1-pentadecanoyl-2-(9Z-hexadecenoyl)-sn-glycerol,C34H64O5   ,552.4754,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010450,DG(15:1(9Z)/16:0/0:0)[iso2],1-(9Z-pentadecenoyl)-2-hexadecanoyl-sn-glycerol,C34H64O5   ,552.4754,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010339,DG(12:0/19:0/0:0)[iso2],1-dodecanoyl-2-nonadecanoyl-sn-glycerol,C34H66O5   ,554.491,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010359,DG(13:0/18:0/0:0)[iso2],1-tridecanoyl-2-octadecanoyl-sn-glycerol,C34H66O5   ,554.491,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010380,DG(14:0/17:0/0:0)[iso2],1-tetradecanoyl-2-heptadecanoyl-sn-glycerol,C34H66O5   ,554.491,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010426,DG(15:0/16:0/0:0)[iso2],1-pentadecanoyl-2-hexadecanoyl-sn-glycerol,C34H66O5   ,554.491,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010345,"DG(12:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]","1-dodecanoyl-2-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycerol",C35H58O5   ,558.4284,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010317,DG(16:1(9Z)/0:0/16:1(9Z)) (d5),"1,3-di-(9Z-hexadecenoyl)-2-hydroxy-glycerol (d5)",C35H59D5O5   ,569.5063,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010344,"DG(12:0/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2]","1-dodecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",C35H60O5   ,560.4441,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010410,"DG(14:1(9Z)/18:3(9Z,12Z,15Z)/0:0)[iso2]","1-(9Z-tetradecenoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycerol",C35H60O5   ,560.4441,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010343,"DG(12:0/20:3(8Z,11Z,14Z)/0:0)[iso2]","1-dodecanoyl-2-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol",C35H62O5   ,562.4597,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010386,"DG(14:0/18:3(9Z,12Z,15Z)/0:0)[iso2]","1-tetradecanoyl-2-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycerol",C35H62O5   ,562.4597,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010409,"DG(14:1(9Z)/18:2(9Z,12Z)/0:0)[iso2]","1-(9Z-tetradecenoyl)-2-(9Z,12Z-octadecadienoyl)-sn-glycerol",C35H62O5   ,562.4597,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010454,"DG(15:1(9Z)/17:2(9Z,12Z)/0:0)[iso2]","1-(9Z-pentadecenoyl)-2-(9Z,12Z-heptadecadienoyl)-sn-glycerol",C35H62O5   ,562.4597,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010311,DG(16:0/0:0/16:0) (d5),"1,3-dihexadecanoyl-2-hydroxy-glycerol (d5)",C35H63D5O5   ,573.5376,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010011,DG(16:1(9Z)/16:1(9Z)/0:0),"1,2-di-(9Z-hexadecenoyl)-sn-glycerol",C35H64O5   ,564.4754,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010342,"DG(12:0/20:2(11Z,14Z)/0:0)[iso2]","1-dodecanoyl-2-(11Z,14Z-eicosadienoyl)-sn-glycerol",C35H64O5   ,564.4754,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010385,"DG(14:0/18:2(9Z,12Z)/0:0)[iso2]","1-tetradecanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycerol",C35H64O5   ,564.4754,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010408,DG(14:1(9Z)/18:1(9Z)/0:0)[iso2],1-(9Z-tetradecenoyl)-2-(9Z-octadecenoyl)-sn-glycerol,C35H64O5   ,564.4754,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010430,"DG(15:0/17:2(9Z,12Z)/0:0)[iso2]","1-pentadecanoyl-2-(9Z,12Z-heptadecadienoyl)-sn-glycerol",C35H64O5   ,564.4754,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010453,DG(15:1(9Z)/17:1(9Z)/0:0)[iso2],1-(9Z-pentadecenoyl)-2-(9Z-heptadecenoyl)-sn-glycerol,C35H64O5   ,564.4754,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02040001,DG(P-14:0/18:1(9Z)),1-O-(1Z-tetradecenyl)-2-(9Z-octadecenoyl)-sn-glycerol,C35H66O4   ,550.4961,Glycerolipids [GL],Diradylglycerols [GL02],1Z-alkenylacylglycerols [GL0204]
LMGL02010010,DG(16:0/16:1(9Z)/0:0)[iso2],1-hexadecanoyl-2-(9Z-hexadecenoyl)-sn-glycerol,C35H66O5   ,566.491,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010341,DG(12:0/20:1(11Z)/0:0)[iso2],1-dodecanoyl-2-(11Z-eicosenoyl)-sn-glycerol,C35H66O5   ,566.491,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010384,DG(14:0/18:1(9Z)/0:0)[iso2],1-tetradecanoyl-2-(9Z-octadecenoyl)-sn-glycerol,C35H66O5   ,566.491,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010407,DG(14:1(9Z)/18:0/0:0)[iso2],1-(9Z-tetradecenoyl)-2-octadecanoyl-sn-glycerol,C35H66O5   ,566.491,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010429,DG(15:0/17:1(9Z)/0:0)[iso2],1-pentadecanoyl-2-(9Z-heptadecenoyl)-sn-glycerol,C35H66O5   ,566.491,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010452,DG(15:1(9Z)/17:0/0:0)[iso2],1-(9Z-pentadecenoyl)-2-heptadecanoyl-sn-glycerol,C35H66O5   ,566.491,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010001,DG(16:0/16:0/0:0)[rac],"1,2-dihexadecanoyl-rac-glycerol",C35H68O5   ,568.5067,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010009,DG(16:0/16:0/0:0),"1,2-dihexadecanoyl-sn-glycerol",C35H68O5   ,568.5067,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010340,DG(12:0/20:0/0:0)[iso2],1-dodecanoyl-2-eicosanoyl-sn-glycerol,C35H68O5   ,568.5067,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010363,DG(13:0/19:0/0:0)[iso2],1-tridecanoyl-2-nonadecanoyl-sn-glycerol,C35H68O5   ,568.5067,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010383,DG(14:0/18:0/0:0)[iso2],1-tetradecanoyl-2-octadecanoyl-sn-glycerol,C35H68O5   ,568.5067,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010428,DG(15:0/17:0/0:0)[iso2],1-pentadecanoyl-2-heptadecanoyl-sn-glycerol,C35H68O5   ,568.5067,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010369,"DG(13:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]","1-tridecanoyl-2-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycerol",C36H60O5   ,572.4441,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010368,"DG(13:0/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2]","1-tridecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",C36H62O5   ,574.4597,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010458,"DG(15:1(9Z)/18:3(9Z,12Z,15Z)/0:0)[iso2]","1-(9Z-pentadecenoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycerol",C36H62O5   ,574.4597,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010019,"DG(16:1(9Z)/17:2(9Z,12Z)/0:0)[iso2]","1-(9Z-hexadecenoyl)-2-(9Z,12Z-heptadecadienoyl)-sn-glycerol",C36H64O5   ,576.4754,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010367,"DG(13:0/20:3(8Z,11Z,14Z)/0:0)[iso2]","1-tridecanoyl-2-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol",C36H64O5   ,576.4754,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010434,"DG(15:0/18:3(9Z,12Z,15Z)/0:0)[iso2]","1-pentadecanoyl-2-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycerol",C36H64O5   ,576.4754,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010457,"DG(15:1(9Z)/18:2(9Z,12Z)/0:0)[iso2]","1-(9Z-pentadecenoyl)-2-(9Z,12Z-octadecadienoyl)-sn-glycerol",C36H64O5   ,576.4754,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010016,DG(16:1(9Z)/17:1(9Z)/0:0)[iso2],1-(9Z-hexadecenoyl)-2-(9Z-heptadecenoyl)-sn-glycerol,C36H66O5   ,578.491,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010017,"DG(16:0/17:2(9Z,12Z)/0:0)[iso2]","1-hexadecanoyl-2-(9Z,12Z-heptadecadienoyl)-sn-glycerol",C36H66O5   ,578.491,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010366,"DG(13:0/20:2(11Z,14Z)/0:0)[iso2]","1-tridecanoyl-2-(11Z,14Z-eicosadienoyl)-sn-glycerol",C36H66O5   ,578.491,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
LMGL02010433,"DG(15:0/18:2(9Z,12Z)/0:0)[iso2]","1-pentadecanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycerol",C36H66O5   ,578.491,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201]
